,Unnamed: 0,name,gender
0,0,FinalData/Images/Rahul Dravid_M_33.jpg,1
1,1,FinalData/Images/Sachin Tendulkar_M_35.jpg,1
2,2,FinalData/Images/Sourav Ganguly_M_27.jpg,1
3,3,FinalData/Images/Virender Sehwag_M_39.jpg,1
4,4,FinalData/Images/VVS Laxman_M_42.jpg,1
5,5,FinalData/Images/Mohammad Sami_M_35.jpg,1
6,6,FinalData/Images/Shoaib Akhtar_M_40.jpg,1
7,7,FinalData/Images/Shabbir Ahmed_M_29.jpg,1
8,8,FinalData/Images/Adam Gilchrist_M_44.jpg,1
9,9,FinalData/Images/Mohammad Yousuf_M_34.jpg,1
10,10,FinalData/Images/Ricky Ponting_M_36.jpg,1
11,11,FinalData/Images/Inzamam-ul-Haq_M_28.jpg,1
12,12,FinalData/Images/Glenn McGrath_M_34.jpg,1
13,13,FinalData/Images/Shoaib Malik_M_34.jpg,1
14,14,FinalData/Images/Andrew Symonds_M_43.jpg,1
15,15,FinalData/Images/Jason Gillespie_M_40.jpg,1
16,16,FinalData/Images/Brett Lee_M_32.jpg,1
17,17,FinalData/Images/Marcus Trescothick_M_42.jpg,1
18,18,FinalData/Images/Stephen Fleming_M_34.jpg,1
19,19,FinalData/Images/Nathan Astle_M_47.jpg,1
20,20,FinalData/Images/Chris Cairns_M_42.jpg,1
21,21,FinalData/Images/Scott Styris_M_43.jpg,1
22,22,FinalData/Images/Jacob Oram_M_38.jpg,1
23,23,FinalData/Images/Hamish Marshall_M_30.jpg,1
24,24,FinalData/Images/Craig McMillan_M_43.jpg,1
25,25,FinalData/Images/Andrew Flintoff_M_27.jpg,1
26,26,FinalData/Images/Steve Harmison_M_33.jpg,1
27,27,FinalData/Images/Darren Gough_M_38.jpg,1
28,28,FinalData/Images/James Anderson_M_34.jpg,1
29,29,FinalData/Images/Paul Collingwood_M_42.jpg,1
30,30,FinalData/Images/Zaheer Khan_M_38.jpg,1
31,31,FinalData/Images/Yuvraj Singh_M_34.jpg,1
32,32,FinalData/Images/Parthiv Patel_M_30.jpg,1
33,33,FinalData/Images/Mohammad Kaif_M_37.jpg,1
34,34,FinalData/Images/Irfan Pathan_M_33.jpg,1
35,35,FinalData/Images/Harbhajan Singh_M_36.jpg,1
36,36,FinalData/Images/Yasir Hameed_M_30.jpg,1
37,37,FinalData/Images/Taufeeq Umar_M_37.jpg,1
38,38,FinalData/Images/Kamran Akmal_M_28.jpg,1
39,39,FinalData/Images/Arshad Ali_M_43.jpg,1
40,40,FinalData/Images/Khurram Khan_M_30.jpg,1
41,41,FinalData/Images/Mohammad Tauqir_M_33.jpg,1
42,42,FinalData/Images/Abdul Razzaq_M_35.jpg,1
43,43,FinalData/Images/Lakshmipathy Balaji_M_37.jpg,1
44,44,FinalData/Images/Anil Kumble_M_45.jpg,1
45,45,FinalData/Images/Sanath Jayasuriya_M_33.jpg,1
46,46,FinalData/Images/Kumar Sangakkara_M_39.jpg,1
47,47,FinalData/Images/Marvan Atapattu_M_39.jpg,1
48,48,FinalData/Images/Mahela Jayawardene_M_33.jpg,1
49,49,FinalData/Images/Tillakaratne Dilshan_M_39.jpg,1
50,50,FinalData/Images/Thilina Kandamby_M_34.jpg,1
51,51,FinalData/Images/Upul Chandana_M_38.jpg,1
52,52,FinalData/Images/Muttiah Muralitharan_M_45.jpg,1
53,53,FinalData/Images/Lasith Malinga_M_34.jpg,1
54,54,FinalData/Images/Nuwan Zoysa_M_39.jpg,1
55,55,FinalData/Images/Avishka Gunawardene_M_33.jpg,1
